rating,roaster,title,blind_assessment,notes,bottom_line,roaster location,coffee origin,roast level,agtron,est. price,review date,aroma,acidity,body,flavor,aftertaste,url,with milk,acidity/structure
95,Cafe Grumpy,Kenya Gethembwini,"Deeply sweet and deeply pungent with round, complexly rich Kenya fruit: grapefruit, black currant, strawberry, supported by an undercurrent of fresh-cut fir. Ringing, resonant acidity, syrupy mouthfeel, flavor-saturated finish.","Despite grower discontent and sporadic social disorder, Kenya continues to produce some of the world's most elegant and distinctive coffees. This lot was produced exclusively from trees of Kenya’s two premier varieties of Arabica, the Bourbon-related SL28 and SL34. An integral part of New York’s coffee renaissance, Brooklyn based Café Grumpy opened its first café in 2005 and has since expanded to four locations, including their own roasting facility. Visit www.cafegrumpy.com or call 718-349-7623 for more information.",,"Brooklyn, New York",South-central Kenya.,Medium-Light,57/73,$21.00/12 ounces,June 2011,8,9,9,9,9,https://www.coffeereview.com/review/kenya-gethembwini/,,
93,Fidalgo Bay Coffee,Decaf Roastmaster’s Choice Espresso,"A fine fruity-fermented style espresso in decaffeinated format. The sweet fermented fruit notes (I would guess from a dried-in-the-fruit East African green coffee component) read as blueberry with chocolate and ripe banana tones in both aroma and small cup. Excellent body, rich chocolate in the finish. A slight salty sensation that often accompanies fruity ferment hardly matters in the small cup, but seems to dampen sweetness in milk, where this exciting espresso doesn?t quite live up to its full chocolate-blueberry promise.",Fidalgo Bay is a wholesale and online retail specialty coffee roaster with a thoughtfully designed menu of coffees and a concise but effective personal roast profiling tool on its website. Visit www.fidalgobaycoffee.com or call 800-310-5540 for more information.,,"Burlington, Washington",Central America and Africa,Medium,45/69,,March 2007,9,,8,8,8,https://www.coffeereview.com/review/decaf-roastmasters-choice-espresso/,7,
94,Big Island Coffee Roasters,Kona Noir,"Elegantly fruit-toned, gently spice-driven. Date, clove, blood orange, baking chocolate, cedar in aroma and cup. Complex bittersweet structure with winey acidity; plush, syrupy mouthfeel. The resonant finish is centered around notes of date, blood orange and clove.","Produced by Kraig Lee and Franck Carisey entirely of the SL34 variety of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried) with the addition of wine yeasts during fermentation. Big Island Coffee is an award-winning coffee roaster operated with hands-on passion by Kelleigh Stewart and Brandon von Damitz. Visit www.bigislandcoffeeroasters.com for more information.","A distinctive Kona cup from the rare Kenya-derived SL34 variety of Arabica, worth seeking out for its confident fruit and nuanced spice notes.","Mountain View, Hawaii","Holualoa, Kona, Big Island of Hawai’i",Light,62/80,$29.00/4 ounces,September 2022,9,,9,9,8,https://www.coffeereview.com/review/kona-noir/,,9
92,Bonlife Coffee,Ethiopia Tswana,"Bright, gently and lyrically complex. Honey, jasmine-like flowers, kiwi-like fruit, a crisp hint of roasted cacao nib. Delicately bright acidity; buoyant, lightly syrupy mouthfeel. Brisk, lightly flavor-saturated finish.","Produced from a mix of native Ethiopian heirloom varieties and brought into the U.S. by boutique exporter/importer Ninety Plus Coffee. Bonlife Coffee is a quality-oriented small-batch coffee roaster located in Cleveland, Tennessee dedicated to the motto “Drink a Better Story.” Bonlife donates 1% of its sales to a variety of environmental programs through its membership in the “1% for the Planet” movement, as well as contributing to other coffee-associated organizations including Water Missions International and Coffee Kids. Visit www.bonlifecoffee.com or call 423-464-6160 for more information.",,"Cleveland, Tennessee",Southern Ethiopia.,Medium-Light,58/79,$14.95/8 ounces,October 2013,9,8,8,9,8,https://www.coffeereview.com/review/ethiopia-tswana/,,
95,Novo Coffee,Aricha Selection Seven Ethiopia Yirgacheffe,"No hints here: The aromatics are direct, inescapable, lavish. Lushly intense blueberry, chocolate, and floral-toned honey in the aroma. In the cup the incendiary aromatics are influenced by a wine-like acidity that turns the berry and chocolate notes crisp and richly dry. The fundamental berry and floral notes linger with surprising clarity in the finish, although they are outlasted by a slight but forgivable astringency.","Most southern Ethiopia coffee is prepared by removing the fruit from the beans or seeds before they are dried (wet-processing), which produces a cleanly high-toned, often intensely floral- and citrus-toned cup. This southern Ethiopia is a ""natural"" or dry-processed version, however, meaning the beans/seeds were dried inside the fruit, producing a flavor profile that is lower-toned with a deep, wine-and berry-like fruit. Such high-quality dry-processed coffees from southern Ethiopia are a new development on the specialty coffee scene, substantially aided by younger enthusiasts like Novo Coffee's Joseph Brodsky, whose new small company NINE+Y PLUS specializes in collaborating with growers to develop and import exceptional small lots of such coffees. Novo Coffee itself is a quality-oriented boutique roasting company with fine coffees, an elegant package, and the slogan ""Get Closer"" - to coffee, as it turns out. Visit www.novocoffee.com or call 303-295-7678 for more information.",,"Denver, Colorado","Yirgacheffe growing district, southern Ethiopia.",Light,63/86,,July 2007,10,8,7,9,8,https://www.coffeereview.com/review/aricha-selection-seven-ethiopia-yirgacheffe/,,
93,Jackrabbit Java,Uganda Organic Sipi Falls Honey,"Deep-toned, richly sweet. Dark chocolate, hazelnut butter, golden raisin, carnation, cedar in aroma and cup. Balanced structure with gentle acidity; very full, syrupy mouthfeel. Sweetly nut-toned finish with gently spicy aromatic wood suggestions.","Certified USDA Organic. Produced in the Bugisu Region of Uganda near Mt. Elgon and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Jackrabbit Java selects the finest coffees from around the world and roasts them in Thermopolis, Wyoming’s mountain air. All Jackrabbit Java coffees are specialty-grade and roasted to order. Visit www.jackrabbitjava.com for more information.","A chocolaty, nutty, deeply sweet Uganda cup with a particularly full, plush mouthfeel.","Thermopolis, Wyoming","Sipi Falls, Bugisu Region, Uganda",Medium-Light,56/74,$18.00/12 ounces,January 2022,9,,9,9,8,https://www.coffeereview.com/review/uganda-organic-sipi-falls-honey/,,8
94,Simon Hsieh's Aroma Roast Coffees,Ecuador “Mama Kilya” Espresso,"Evaluated as espresso. Profoundly floral-toned, delicately bright. Complex flowers (lilac, lily, honeysuckle), tangerine-like citrus, cedar, nut-toned chocolate in aroma and small cup. Lightish but velvety mouthfeel; chocolate and cedar in particular carry into a clean finish. In three parts milk delicate but authoritative: very sweet citrus, chocolate, flowers.","In addition to his retail roasting operation, Aroma Roast Coffees, Simon Hsieh also operates Soaring Phoenix Trading, a business focused on purposed-built commercial espresso blends and high quality single-origin coffees. Visit www.facebook.com/4ArtsZeroDefectCoffees or call 886-0983-749876 for more information.",,"Taoyuan City, Taiwan",Ecuador.,Medium-Dark,44/50,"NT $2,000/16 ounces",September 2015,9,,9,9,8,https://www.coffeereview.com/review/ecuador-mama-kilya-espresso/,9,
90,BeanFruit Coffee Co.,Costa Rica Finca El Llano,"Sweet-toned, straightforward, some layered complexity. Raisiny dark chocolate, plum, orange zest, fresh-cut cedar, a hint of lily-like flowers in aroma and cup. Rich, rounded acidity; syrupy mouthfeel. Chocolate and orange in particular carry into a balanced finish.","Finca El Llano (short for Llano Bonito de Leon Cortes) is one of ten estates that make up the Don Mayo Beneficio. The Bean Fruit motto is a Biblical quotation from Galatians 5:22-23: “But the fruit of the Spirit is love, joy, peace, long suffering, gentleness, goodness, faith, meekness, temperance: against such there is no law.” Visit www.beanfruit.com or call 601-624-2605 for more information.",,"Jackson, MIssissippi","San Marcos, Tarrazu growing region, central Costa Rica.",Medium-Light,55/80,$14.00/12 ounces,November 2014,8,8,8,8,8,https://www.coffeereview.com/review/costa-rica-finca-el-llano/,,
93,Mr. Chao Coffee,Kenya 168,"Crisply sweet-savory. Date, hop flowers, tamarind, oak, cane sugar in aroma and cup. Richly bittersweet structure with lively acidity; velvety-smooth mouthfeel. Sweetly tart finish leads with tamarind notes, supported by sweet aromatic wood.","Despite grower discontent, unclear government coffee policy and urban encroachment on prime coffee lands, the famed Kenya coffee auction system and its participating cooperatives continue to produce some of the world's most elegant and distinctive coffees. Mr. Chao Coffee is a subsidiary of Intekeco Co., Ltd, based in New Taipei City, Taiwan, which provides both green and roasted coffee to wholesale and retail clients. Visit https://chao-coffee.webnode.tw/zh-tw/ for more information.",A savory-leaning Kenya cup — bittersweet with appealing floral tartness rounded by notes of rich cane sugar.,"New Taipei City, Taiwan","Nyeri growing region, south-central Kenya",Medium-Light,58/78,NT $260/200 grams,September 2021,9,,8,9,8,https://www.coffeereview.com/review/kenya-168/,,9
91,PT's Coffee Roasting Co.,Guatemala Finca Socorro y Annexos Cup of Excellence #4,"Elegant floral aroma, with fruity hints of mixed berries and stone fruit, bright acidity, lightly syrupy mouthfeel and medium body. The floral tones carry into the cup with tart notes of Meyer lemon and strawberry rounding and sweetening to cherryish chocolate and nut. A mild sweet cocoa note lingers in the long finish softening a touch of astringency.","A prize winner in the 2008 Guatemala Cup of Excellence competition, where as a green (unroasted) coffee it placed fourth out of hundreds of entries, attracting a score of 89.60 from an international jury. This coffee is comprised of the Maracaturra variety of Arabica, a cross between the giant-beaned Maragogipe and Caturra, a dwarf selection of Bourbon. Roasted at PT's Coffee, where the motto is ""without the love, it's just coffee."" Visit www.ptscoffee.com or call 888-678-5282 for more information.",,"Topeka, Kansas","Palencia, Guatemala Department, Guatemala.",Light,66/91,,July 2009,8,8,8,9,8,https://www.coffeereview.com/review/guatemala-finca-socorro-y-annexos-cup-of-excellence-4/,,
89,Lao Mountain Coffee,Peaberry Espresso,"Evaluated as espresso. Crisply floral and fruit-toned. Orange zest, baker’s chocolate, oak, a hint of honeysuckle-like flowers in aroma and small cup. Syrupy in texture though drying in mouthfeel; flavor consolidates but persists in a round, sweet, though quietly dry finish. Tart, fruity chocolate dominates in three parts milk.","Lao Mountain Coffee is an artisanal coffee-roasting company based in Vientiane, the capital of Laos. It roasts and sells specialty-grade coffee grown exclusively for Lao Mountain Coffee Farmers Producer Group on the Bolaven Plateau, a group of producers certified as fulfilling criteria for “compliance with Fair Trade Laos Corporate Social Responsibility.” For more information, visit laomountain.com or call +65 6812 5738.",,"Vientiane, Laos","Champasak Province, southern Laos",Medium-Light,56/77,$13.71/200 grams,November 2015,8,,8,8,8,https://www.coffeereview.com/review/peaberry-espresso/,7,
93,Buon Caffe,Panama Hacienda La Esmeralda Diamond Mountain Catuai Washed,"Crisply sweet-tart, citrusy. Lime zest, cocoa nib, jasmine, plum, cedar in aroma and cup. Balanced, vibrant acidity; satiny-smooth mouthfeel. Cocoa-toned citrus notes lead in the long finish.","Produced at Hacienda La Esmeralda, entirely of the Catuai variety of Arabica, and processed by the traditional washed method (fruit skin and flesh are removed before beans are dried). Buon Caffe is a specialty coffee roaster and cafe in Taipei, Taiwan. Visit www.buoncaffe.com.tw for more information.","A Catuai from famed Panama Geisha producer Hacienda La Esmeralda — complex, cocoa and citrus driven.","Taipei, Taiwan","Boquete growing region, western Panama",Medium-Light,60/77,NT $325/8 ounces,July 2023,9,,8,9,8,https://www.coffeereview.com/review/panama-hacienda-la-esmeralda-diamond-mountain-catuai-washed/,,9
92,Temple Coffee and Tea,Ethiopia Tchembe,"Unusual profile: intense night flowers and a banana-like fruit dominate, with complicating hints of brandy and cedar. Round, functional acidity; buttery mouthfeel. Flowers in particular carry into a long, deep, slightly drying finish.","This is a dry-processed or ""natural"" coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with the orthodox wet-processed or ""washed"" coffees more typical of southern Ethiopia. With two coffee houses located in California's state capitol Sacramento, Temple Coffee recently transitioned from serving coffee roasted by others to roasting its own. Visit www.templecoffee.com or call 916-601-5363 for more information.",,"Sacramento, California",Southern Ethiopia,Medium-Light,52/70,$22.00/12 ounces,December 2011,9,8,8,9,8,https://www.coffeereview.com/review/ethiopia-tchembe/,,
92,Old Soul Co.,Ethiopia Washed Shatawene Gr. 1,"Delicate, sweetly tart. Lemon zest, nougat, cedar, mango, narcissus-like flowers in aroma and cup. Crisp, gentle acidity; lean, silky mouthfeel. The richly drying finish consolidates around aromatic wood tones, with intimations of sweet-tart mango.","Southern Ethiopia coffees like this one are produced from traditional Ethiopian varieties of Arabica long grown in the region. When processed by the wet or washed method (fruit skin and pulp are removed before drying) they typically express great aromatic complexity and intensity with a particular emphasis on floral notes. Like virtually all southern Ethiopia coffees, this one is produced by villagers on small, garden plots interplanted with food and other subsistence crops. Old Soul is a roastery, bakery and crafter of artisan goods dedicated to quality in every form. Visit www.oldsoulco.com or call 916-443-7685 for more information.","An invitingly accessible, crisply sweet Sidamo cup.","Sacramento, California","Sidamo growing region, south-central Ethiopia",Medium-Light,56/78,$19.50/12 ounces,November 2016,9,8,8,9,8,https://www.coffeereview.com/review/ethiopia-washed-shatawene-gr-1/,,
91,"Kunshan Kokei co., LTD",H Coffee Blend F03,"Sweet, deeply nut-toned. Hazelnut, baking chocolate, red apple, fresh-cut fir, brown sugar in aroma and cup. Sweet-toned structure with brisk acidity; crispy, satiny mouthfeel. Finish consolidates to hazelnut and baking chocolate with undertones of fresh-cut fir.","A blend of coffees from Guatemala, Colombia and Brazil. Roasted by Shunda Food, a Shanghai-based food and beverage manufacturer with a commitment to specialty coffee. Visit http://www.shundafood.com/index_en.html for more information.",An accessible blend: sweet and nutty with pleasant cocoa tones throughout.,"Shanghai, China",Guatemala; Colombia; Brazil,Medium-Light,55/71,$16.88/227 grams,February 2020,8,,8,9,8,https://www.coffeereview.com/review/h-coffee-blend-f03/,,8
94,JBC Coffee Roasters,Banco Gotete Ethiopia,"Delicate, richly floral, sweetly spice-toned. Almond nougat, white peach, pink peppercorn, wisteria-like flowers, fragrant sandalwood in aroma and cup. Richly bittersweet structure with vibrant, juicy acidity; plush, syrupy mouthfeel. Resonant, flavor-saturated finish centers around peach, wisteria and sandalwood.","Southern Ethiopia coffees like this one are produced largely from traditional indigenous Ethiopian varieties of Arabica long grown in the region. This lot was processed by the wet or washed method (fruit skin and pulp are removed before drying). Ethiopia coffees processed with this method typically express great aromatic complexity and intensity, with a particular emphasis on floral notes. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.","A nuanced, multi-layered washed Ethiopia cup with a deep floral profile and energetic lift from an elegant spice throughline.","Madison, Wisconsin","Yirgacheffe growing region, southern Ethiopia",Medium-Light,53/75,$18.50/12 ounces,February 2019,9,,9,9,8,https://www.coffeereview.com/review/banco-gotete-ethiopia/,,9
92,Quartet Kaffe,Kenya Wanjengi AA,"Richly sweet-savory, deep-toned. Date, hop flowers, maple syrup, cedar, cocoa nib in aroma and cup. Bittersweet structure with brisk acidity; full, lightly syrupy mouthfeel. Finish consolidates to cocoa-toned date in the short and cedar-like aromatic wood notes in the long.","Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to produce some of the world’s most elegant and distinctive coffees. Quartet Kaffe is an artisan roastery in Taiwan founded in 2018, dedicated to pursuing coffee performance art and offering unique specialty coffee. Visit www.facebook.com/QuartetKaffe for more information.",A developed medium roast emphasizes this Kenya’s depth and amplifies its rich dried fruit and cocoa notes.,"Taipei, Taiwan","Murang'a County, central Kenya",Medium,50/70,NT $530/200 grams,April 2020,9,,8,9,8,https://www.coffeereview.com/review/kenya-thageini-2/,,8
93,Flight Coffee Co.,Ethiopia Zonegediyo Kochere Yirga Cheffe,"Big, sweetly pungent, complex. Brown sugar, dark chocolate, walnut, narcissus-like flowers, savory hints of mango and musk in aroma and cup. Rich, resonant acidity; lightly syrupy mouthfeel. Deeply flavor-saturated finish, drying but long and sweet.","Yirgacheffe is a coffee region in southern Ethiopia that produces distinctive coffees from traditional varieties of Arabica long grown in the region. Yirgacheffe coffees like this one processed by the wet or washed method (fruit skin and pulp are removed before drying) typically express great aromatic complexity and intensity with a particular emphasis on floral notes. Like virtually all Ethiopia coffees, this coffee is produced by villagers on small, garden plots interplanted with food and other subsistence crops. Flight Coffee Co. (formerly CQ Coffee Roasters) is a coffee-loving, quality-focused roasting company based in Bedford, New Hampshire.Visit www.flightcoffeeco.com or call 603-836-6228 for more information.",,"Bedford, New Hampshire","Yirgacheffe growing region, southern Ethiopia.",Medium-Light,54/70,$14.50/12 ounces,January 2014,9,8,8,9,9,https://www.coffeereview.com/review/ethiopia-zonegediyo-kochere-yirga-cheffe/,,
